iter	Passed	Remaining
414	2659	3748
415	2665	3742
416	2669	3732
417	2678	3729
418	2683	3721
419	2691	3717
420	2697	3709
421	2702	3701
422	2708	3694
423	2712	3685
424	2720	3680
425	2726	3673
426	2731	3665
427	2735	3655
428	2740	3648
429	2745	3639
430	2749	3630
431	2753	3620
432	2759	3613
433	2764	3604
434	2768	3595
435	2774	3588
436	2778	3579
437	2782	3570
438	2788	3563
439	2794	3556
440	2799	3548
441	2805	3541
442	2809	3532
443	2813	3523
444	2819	3515
445	2823	3507
446	2827	3498
447	2831	3489
448	2837	3482
449	2842	3474
450	2846	3465
451	2854	3460
452	2859	3452
453	2873	3456
454	2883	3453
455	2890	3448
456	2895	3440
457	2903	3435
458	2914	3435
459	2923	3431
460	2935	3432
461	2944	3428
462	2959	3432
463	2975	3437
464	2991	3441
465	2998	3436
466	3003	3427
467	3007	3418
468	3013	3411
469	3018	3404
470	3023	3396
471	3029	3388
472	3033	3380
473	3038	3371
474	3043	3363
475	3047	3355
476	3051	3346
477	3056	3337
478	3063	3332
479	3068	3324
480	3072	3315
481	3081	3312
482	3086	3304
483	3095	3300
484	3100	3292
485	3104	3283
486	3111	3277
487	3115	3268
488	3119	3260
489	3126	3253
490	3130	3244
491	3134	3236
492	3140	3229
493	3144	3220
494	3148	3212
495	3153	3204
496	3158	3196
497	3162	3187
498	3166	3179
499	3172	3172
500	3176	3163
501	3180	3155
502	3186	3148
503	3191	3141
504	3196	3133
505	3202	3126
506	3206	3118
507	3212	3111
508	3218	3104
509	3222	3096
510	3227	3088
511	3231	3079
512	3237	3073
513	3241	3064
514	3246	3057
515	3251	3050
516	3256	3042
517	3265	3038
518	3272	3032
519	3279	3027
520	3293	3027
521	3300	3022
522	3304	3014
523	3308	3005
524	3315	3000
525	3321	2993
526	3326	2985
527	3331	2978
528	3336	2970
529	3340	2962
530	3345	2955
531	3350	2947
532	3354	2939
533	3358	2931
534	3364	2924
535	3369	2916
536	3373	2908
537	3379	2902
538	3383	2893
539	3387	2886
540	3393	2879
541	3398	2872
542	3405	2865
543	3412	2860
544	3416	2852
545	3420	2844
546	3426	2837
547	3430	2829
548	3435	2822
549	3441	2815
550	3445	2807
551	3451	2801
552	3458	2795
553	3463	2787
554	3472	2783
555	3477	2776
556	3484	2771
557	3491	2765
558	3497	2758
559	3502	2751
560	3507	2744
561	3511	2736
562	3516	2729
563	3522	2722
564	3526	2714
565	3530	2707
566	3536	2700
567	3540	2692
568	3544	2685
569	3550	2678
570	3554	2670
571	3559	2663
572	3563	2655
573	3569	2649
574	3573	2641
575	3578	2634
576	3584	2627
577	3590	2621
578	3594	2613
579	3601	2607
580	3605	2600
581	3609	2592
582	3615	2586
583	3619	2578
584	3623	2570
585	3629	2564
586	3633	2556
587	3637	2549
588	3642	2541
589	3652	2537
590	3658	2531
591	3669	2528
592	3675	2522
593	3683	2517
594	3690	2511
595	3696	2505
596	3700	2498
597	3705	2491
598	3711	2484
599	3715	2476
600	3719	2469
601	3725	2463
602	3729	2455
603	3734	2448
604	3738	2440
605	3744	2434
606	3748	2427
607	3753	2419
608	3758	2412
609	3762	2405
610	3766	2398
611	3771	2391
612	3775	2383
613	3780	2376
614	3784	2368
615	3790	2362
616	3796	2356
617	3800	2349
618	3806	2342
619	3810	2335
620	3814	2328
621	3820	2321
622	3824	2314
623	3829	2307
624	3833	2299
625	3838	2293
626	3843	2286
627	3847	2279
628	3859	2276
629	3864	2269
630	3870	2263
631	3874	2256
632	3878	2248
633	3890	2245
634	3942	2266
635	3949	2260
636	3953	2253
637	3959	2246
638	4027	2275
639	4083	2297
640	4095	2293
641	4105	2289
642	4177	2319
643	4185	2313
644	4195	2309
645	4204	2303
646	4216	2300
647	4226	2296
648	4234	2290
649	4242	2284
650	4248	2277
651	4257	2272
652	4267	2267
653	4276	2262
654	4285	2257
655	4289	2249
656	4295	2242
657	4303	2236
658	4312	2231
659	4318	2224
660	4322	2216
661	4328	2209
662	4332	2202
663	4336	2194
664	4343	2187
665	4347	2180
666	4351	2172
667	4358	2166
668	4363	2158
669	4369	2152
670	4375	2145
671	4379	2137
672	4383	2130
673	4389	2123
674	4393	2115
675	4397	2107
676	4405	2101
677	4409	2094
678	4413	2086
679	4418	2079
680	4423	2072
681	4428	2064
682	4432	2057
683	4438	2050
684	4443	2043
685	4448	2036
686	4454	2029
687	4458	2021
688	4462	2014
689	4468	2007
690	4474	2000
691	4478	1993
692	4484	1986
693	4488	1979
694	4494	1972
695	4500	1965
696	4504	1958
697	4508	1950
698	4513	1943
699	4523	1938
700	4531	1933
701	4541	1927
702	4548	1921
703	4552	1914
704	4556	1906
705	4562	1899
706	4567	1893
707	4573	1886
708	4579	1879
709	4583	1872
710	4588	1864
711	4592	1857
712	4598	1850
713	4602	1843
714	4610	1837
715	4615	1830
716	4619	1823
717	4624	1816
718	4629	1809
719	4634	1802
720	4638	1795
721	4646	1789
722	4650	1781
723	4655	1774
724	4661	1768
725	4666	1761
726	4671	1754
727	4677	1747
728	4683	1741
729	4687	1733
730	4693	1727
731	4700	1720
732	4705	1713
733	4709	1706
734	4717	1700
735	4724	1694
736	4728	1687
737	4735	1681
738	4739	1673
739	4743	1666
740	4749	1660
741	4753	1652
742	4757	1645
743	4762	1638
744	4767	1631
745	4772	1625
746	4777	1618
747	4783	1611
748	4787	1604
749	4793	1597
750	4797	1590
751	4802	1583
752	4806	1576
753	4812	1570
754	4816	1562
755	4820	1555
756	4827	1549
757	4831	1542
758	4836	1535
759	4841	1528
760	4845	1521
761	4850	1514
762	4855	1508
763	4860	1501
764	4865	1494
765	4872	1488
766	4876	1481
767	4880	1474
768	4885	1467
769	4890	1460
770	4895	1453
771	4904	1448
772	4909	1441
773	4916	1435
774	4923	1429
775	4931	1423
776	4936	1416
777	4941	1410
778	4945	1403
779	4952	1396
780	4959	1390
781	4963	1383
782	4969	1377
783	4974	1370
784	4978	1363
785	4984	1357
786	4988	1350
787	4992	1343
788	4998	1336
789	5003	1329
790	5007	1323
791	5011	1316
792	5017	1309
793	5021	1302
794	5026	1296
795	5031	1289
796	5036	1282
797	5040	1275
798	5047	1269
799	5052	1263
800	5056	1256
801	5062	1249
802	5067	1243
803	5072	1236
804	5078	1230
805	5082	1223
806	5087	1216
807	5095	1210
808	5099	1203
809	5103	1197
810	5113	1191
811	5119	1185
812	5136	1181
813	5154	1177
814	5175	1174
815	5188	1170
816	5202	1165
817	5212	1159
818	5216	1152
819	5220	1146
820	5226	1139
821	5230	1132
822	5234	1125
823	5239	1119
824	5244	1112
825	5248	1105
826	5252	1098
827	5258	1092
828	5263	1085
829	5267	1078
830	5274	1072
831	5279	1066
832	5284	1059
833	5289	1052
834	5293	1046
835	5297	1039
836	5308	1033
837	5314	1027
838	5322	1021
839	5327	1014
840	5334	1008
841	5340	1002
842	5344	995
843	5351	989
844	5355	982
845	5360	975
846	5366	969
847	5371	962
848	5376	956
849	5382	949
850	5386	943
851	5391	936
852	5395	929
853	5400	923
854	5404	916
855	5409	909
856	5414	903
857	5418	896
858	5422	890
859	5427	883
860	5433	877
861	5437	870
862	5442	863
863	5447	857
864	5451	850
865	5456	844
866	5462	837
867	5467	831
868	5472	825
869	5479	818
870	5483	812
871	5487	805
872	5493	799
873	5497	792
874	5501	785
875	5513	780
876	5518	773
877	5524	767
878	5529	761
879	5534	754
880	5542	748
881	5549	742
882	5558	736
883	5562	729
884	5569	723
885	5575	717
886	5581	711
887	5586	704
888	5593	698
889	5598	691
890	5602	685
891	5607	678
892	5611	672
893	5616	665
894	5621	659
895	5626	653
896	5630	646
897	5636	640
898	5641	633
899	5645	627
900	5649	620
901	5655	614
902	5659	607
903	5664	601
904	5670	595
905	5675	588
906	5680	582
907	5686	576
908	5690	569
909	5694	563
910	5700	556
911	5704	550
912	5708	544
913	5713	537
914	5723	531
915	5728	525
916	5737	519
917	5744	513
918	5751	506
919	5756	500
920	5761	494
921	5767	487
922	5772	481
923	5779	475
924	5784	468
925	5789	462
926	5795	456
927	5800	450
928	5804	443
929	5810	437
930	5814	430
931	5819	424
932	5823	418
933	5830	412
934	5835	405
935	5839	399
936	5845	392
937	5850	386
938	5854	380
939	5860	374
940	5866	367
941	5870	361
942	5876	355
943	5880	348
944	5884	342
945	5890	336
946	5894	329
947	5899	323
948	5903	317
949	5908	310
950	5912	304
951	5917	298
952	5924	292
953	5929	285
954	5933	279
955	5942	273
956	5948	267
957	5957	261
958	5963	254
959	5969	248
960	5973	242
961	5978	236
962	5984	229
963	5988	223
964	5992	217
965	5997	211
966	6003	204
967	6008	198
968	6012	192
969	6019	186
970	6023	179
971	6028	173
972	6034	167
973	6039	161
974	6043	154
975	6049	148
976	6053	142
977	6058	136
978	6063	130
979	6071	123
980	6075	117
981	6081	111
982	6085	105
983	6089	99
984	6095	92
985	6100	86
986	6106	80
987	6112	74
988	6117	68
989	6121	61
990	6127	55
991	6134	49
992	6138	43
993	6145	37
994	6152	30
995	6160	24
996	6166	18
997	6172	12
998	6181	6
999	6191	0
