iter	RMSE
0	0.1846865016
1	0.1724097704
2	0.1609908299
3	0.1511940765
4	0.1417847025
5	0.133195695
6	0.1262241384
7	0.1190349977
8	0.1128066561
9	0.1076560996
10	0.1023662864
11	0.0976708721
12	0.09328037115
13	0.08956895347
14	0.08614034094
15	0.08327051319
16	0.08020414406
17	0.07753301747
18	0.07509216448
19	0.07306371126
20	0.07118983156
21	0.06958158495
22	0.06797995738
23	0.06659009101
24	0.06537593686
25	0.06432705458
26	0.06338698368
27	0.06242023726
28	0.06162295191
29	0.0609150041
30	0.06031148837
31	0.05974396249
32	0.05928203929
33	0.05884409822
34	0.05843152029
35	0.05811556944
36	0.05778980385
37	0.05747082468
38	0.05721628283
39	0.05698939837
40	0.05678644898
41	0.05658056029
42	0.05642367925
43	0.05624921714
44	0.05610925077
45	0.05598758509
46	0.0558574745
47	0.05573594948
48	0.05563822604
49	0.05556653361
50	0.05550306861
51	0.05542854917
52	0.05535364033
53	0.05529219248
54	0.05523330114
55	0.05518509898
56	0.05513453927
57	0.05509753478
58	0.05505595409
59	0.05502204089
60	0.05498812425
61	0.05496088621
62	0.05493063739
63	0.05490571
64	0.05488538776
65	0.05486617646
66	0.05484592963
67	0.05482514355
68	0.05480887002
69	0.05479119208
70	0.05477011096
71	0.05475047218
72	0.05473737599
73	0.05472246452
74	0.05470695934
75	0.05469394651
76	0.05468012022
77	0.05466949964
78	0.05465930625
79	0.0546520077
80	0.05463824886
81	0.05462804393
82	0.05462057702
83	0.05461493605
84	0.05460624217
85	0.05460064968
86	0.054594782
87	0.05458792066
88	0.05458091905
89	0.0545725114
90	0.05456830392
91	0.05456199596
92	0.05455256395
93	0.05454044144
94	0.05453607444
95	0.05453277917
96	0.05452875019
97	0.05452048097
98	0.05451131154
99	0.05450532433
100	0.05449921267
101	0.05449604679
102	0.05449229343
103	0.05448821874
104	0.05447385322
105	0.05446077163
106	0.05445358262
107	0.05445081174
108	0.05443806477
109	0.0544264887
110	0.05442336655
111	0.05441535792
112	0.05440540685
113	0.05440117222
114	0.05439460616
115	0.05439209525
116	0.05438314856
117	0.05437585212
118	0.05437197489
119	0.05436607359
120	0.05436291562
121	0.05436063097
122	0.05435804594
123	0.05435139696
124	0.05434335581
125	0.05433752531
126	0.05433188102
127	0.0543296314
128	0.05432466339
129	0.05431200934
130	0.05430175504
131	0.05429208965
132	0.05428275876
133	0.05428087971
134	0.05427673382
135	0.0542670191
136	0.05426223459
137	0.05425420388
138	0.05425046813
139	0.05424808835
140	0.05424379771
141	0.05423614247
142	0.05423213854
143	0.05422542796
144	0.0542139924
145	0.05420585698
146	0.05420189228
147	0.05420022533
148	0.05419809581
149	0.05419104603
150	0.0541880281
151	0.05418571719
152	0.05418374741
153	0.05417760452
154	0.05417103797
155	0.05416532202
156	0.05416389342
157	0.05415773098
158	0.05415327155
159	0.05414867815
160	0.05414318508
161	0.05413984135
162	0.05413284588
163	0.0541292567
164	0.05412760777
165	0.05412624021
166	0.05412035608
167	0.05411716517
168	0.05411564299
169	0.05410475184
170	0.05410093847
171	0.05409827943
172	0.05409115267
173	0.05408606105
174	0.054083757
175	0.05407817979
176	0.05407577546
177	0.0540708416
178	0.05406192831
179	0.05405775681
180	0.05404013191
181	0.05403863999
182	0.05403590254
183	0.05403490079
184	0.05403354443
185	0.05403061604
186	0.05402838091
187	0.0540276864
188	0.0540227456
189	0.05401853929
190	0.05401574791
191	0.0540147563
192	0.05400721548
193	0.05400634485
194	0.05400232469
195	0.05399491074
196	0.05399337897
197	0.05399040647
198	0.05398411514
199	0.0539833565
